ACT;Canberra;Power Kart Raceway ;320;;N;20;10;;OTL
NEW SOUTH WALES;Albion Park Rail;C1 Speed;400;;N;40;10;;OTL
NEW SOUTH WALES;Central coast;Kartatak Raceway;500;;Y;18;;;GT4
NEW SOUTH WALES;COFFS;F1 kart hire Coffs Harbour;;500;N;;;;?
NEW SOUTH WALES;KEMBLA;Wollongong Kart Racing;;600;Y;18;;;RX7 RX8 RT8
NEW SOUTH WALES;SYDNEY;Fastlane;;570 + 160;N;16;6;;RIMO EVO6 & JUNIOR
NEW SOUTH WALES;NEWCASTLE;go-kart-go nelson bay;350;;N;30;10;;RIMO ALPHA schumacher
2 seater et junior
NEW SOUTH WALES;NEWCASTLE;go-kart-go hunter valley;;850;N;30;10;;RIMO evo5 schumacher / junior
2seater
NEW SOUTH WALES;NEWCASTLE;go-kart-go - broadmeadow;;700;N;30;;;RIMO evo5 schumacher
2seater
NEW SOUTH WALES;NEWCASTLE;Go Kart World;;1100;Y;29;;;Sodi RX250
NEW SOUTH WALES;Raleigh;Raleigh Raceway ;;1100;N;20;10;;Own Design/closed?
NEW SOUTH WALES;NEWCASTLE;GJ's by the Lake;;340;N;;;;old Rimos from Go Kart Go
NEW SOUTH WALES;SYDNEY;Extreme karting Indoor;500;;N;22;8;;BIZ BIZ JK3 2SEATER
NEW SOUTH WALES;SYDNEY;Ultimate Karting;450;;Y;18;4;;GT5 LR4 2DRIVE
NEW SOUTH WALES;SYDNEY;Picton Karting Track;;640 + 330;N;25;10;;Tbkart
NEW SOUTH WALES;SYDNEY;Luddenham Raceway;;600 + 200;N;40;10;;RIMO adults + junior
NEW SOUTH WALES;SYDNEY;Spitfire karts and Paintball ;450;;Y;34;;;RT8
NEW SOUTH WALES;SYDNEY;Eastern creek karts;;1700;Y;17;4;;RT8 390 + LR5 + 2 DRIVE + CRG + Homemade
NEW SOUTH WALES;WARNER BAY;Xtrem karts warners bay;450;;Y;16;;;RTX
NEW SOUTH WALES;WILBERFORCE;BUTTERFARM INDY 800;;800;Y;10;;;GT4 / 2DRIVE
NEW SOUTH WALES;;Shoalhaven Indoor Karting;;X;N;16;10;;Rimo
NEW SOUTH WALES;Sidney;John p / e-karting;350;;Y;28;12;;RSX LRX
NORTHEN TERRITORY;Darwin;Darwin Kart Hire ;;600;N;20;;;Righeti Ridolfi (senior/junior), 2seaters
QUEENSLAND;Whitsundays;Hamilton Island;;X;Y;18;10;;GT2 / GT4/ GT4R
